Graphtreon,Name,Category,Patrons,Earnings,Range,"Is Nsfw","Facebook Likes","Twitter Followers","Youtube Subscribers","Youtube Videos","Youtube Views"
https://graphtreon.com/creator/thegooddeath,"Caitlin Doughty",Video,330,1392.02,Video,0,,,,,
https://graphtreon.com/creator/radiotalbot,"Denis Talbot",Video,327,1500,month,0,,,,,
https://graphtreon.com/creator/LauraKBuzz,"Laura K Buzz",Games,330,1295.34,month,0,,,,,
https://graphtreon.com/creator/raocow,raocow,Video,327,1209.39,month,0,,,,,
https://graphtreon.com/creator/hijinksensue,"Joel Watson",Podcasts,324,1794.5,month,0,,,,,
https://graphtreon.com/creator/radionukular,"RADIO NUKULAR",Podcasts,325,1336.76,month,0,,,,,
https://graphtreon.com/creator/insertmoin,"Insert Moin",Podcasts,321,1756.32,month,0,,,,,
https://graphtreon.com/creator/xplainthexmen,"Jay and Miles X-Plain the X-Men",Podcasts,320,2554.5,month,0,,,,,
https://graphtreon.com/creator/svdelos,"Sailing SV Delos",Video,317,3220.75,video,0,,,,,
https://graphtreon.com/creator/psychetruth,Psychetruth,Video,316,3326.5,month,0,,,,,
https://graphtreon.com/creator/regularfeatures,"Regular Features",Podcasts,313,457.68,episode,0,,,,,
https://graphtreon.com/creator/sabaku,"Sabaku no Maiku",Video,315,1739,month,0,,,,,
https://graphtreon.com/creator/captain,"Vitaly S Alexius",Video,312,1160.73,month,0,,,,,
https://graphtreon.com/creator/Wildbow,Wildbow,Writing,312,2042.16,month,0,,,,,
https://graphtreon.com/creator/JO42Productions,"JO42 Productions",,308,7630,Nothing,0,,,,,
https://graphtreon.com/creator/pablowapsi,"Paul Taylor",Comics,305,1386.75,month,0,,,,,
https://graphtreon.com/creator/ephemeralrift,"Ephemeral Rift",Video,307,1332.35,month,0,,,,,
https://graphtreon.com/creator/AprilMay,"Hank Green",,304,374,Chapter,0,,,,,
https://graphtreon.com/creator/nikaharper,"Nika Harper",Video,303,1897.41,"stories and videos",0,,,,,
https://graphtreon.com/creator/namesake,"Isa and Meg, the Namesake Team,","Adult Comics",303,941.62,month,1,,,,,
https://graphtreon.com/creator/chaseholfelder,"Chase Holfelder",Video,301,2455,"new video on youtube",0,,,,,
https://graphtreon.com/creator/dslyecxi,Dslyecxi,Video,296,2049,month,0,,,,,
https://graphtreon.com/creator/overloadr,Overloadr,Games,296,2087.69,month,0,,,,,
https://graphtreon.com/creator/JuRY,"Justin Young",Video,296,440.98,Podcast,0,,,,,
https://graphtreon.com/creator/sethandrews,"Seth Andrews",Video,292,613.56,creation,0,,,,,
https://graphtreon.com/creator/331erock,"Eric Calderone",Video,290,1260,"'meets metal' video",0,,,,,
https://graphtreon.com/creator/CaptainDisillusion,"Captain Disillusion",Video,287,1693.28,month,0,,,,,
https://graphtreon.com/creator/tmro,TMRO,Video,285,1020.09,"live webcast",0,,,,,
https://graphtreon.com/creator/Hemant,"Hemant Mehta",Video,282,1883.47,month,0,,,,,
https://graphtreon.com/creator/TylerWard,"Tyler Ward",Video,283,1902,"Per Creation",0,,,,,
https://graphtreon.com/creator/Mikeinel,"Mike Inel",Animation,281,893.26,month,0,,,,,
https://graphtreon.com/creator/coachshane,"Coach Shane",Video,276,1040,month,0,,,,,
https://graphtreon.com/creator/KKallgren,"Kyle Kallgren",Video,275,1529.5,Video,0,,,,,
https://graphtreon.com/creator/JCollierMusic,"Jacob Collier",Music,272,3433.2,video,0,,,,,
https://graphtreon.com/creator/doddleoddle,dodie,Music,275,431.54,"YouTube Music Video",0,,,,,
https://graphtreon.com/creator/lapfox,"HALLEY LABS",Music,270,2069.93,month,0,,,,,
https://graphtreon.com/creator/johnharper,"John Harper",Games,268,2164,"game, graphic, or guide",0,,,,,
https://graphtreon.com/creator/dysonlogos,"Dyson Logos",Writing,272,370.62,"Artisanal Gluten-Free Map",0,,,,,
https://graphtreon.com/creator/abbyhoward,"Abby Howard",Comics,264,1102.3,month,0,,,,,
https://graphtreon.com/creator/itsDanBull,"Dan Bull",Video,260,1087.25,"weekly video",0,,,,,
https://graphtreon.com/creator/jenniebreeden,"Jennie Breeden",Comics,256,979.35,month,0,,,,,
https://graphtreon.com/creator/davidrevoy,"David Revoy",Comics,257,917.5,"new webcomic episode (one per month)",0,,,,,
https://graphtreon.com/creator/coelasquid,"Kelly Turnbull",Comics,252,805,month,0,,,,,
https://graphtreon.com/creator/colleenpatrickgoudreau,"Colleen Patrick-Goudreau",Video,251,3724,month,0,,,,,
https://graphtreon.com/creator/HugoAndJake,"Hugo & Jake",Video,251,1000.66,"Wednesday Episode",0,,,,,
https://graphtreon.com/creator/Jaclyn,"Jaclyn Glenn",Video,251,2128,month,0,,,,,
https://graphtreon.com/creator/staymean,"Stay Mean",Podcasts,248,956,month,0,,,,,
https://graphtreon.com/creator/loosecanon,"Lindsay Ellis",Video,254,1099,VIDEO,0,,,,,
https://graphtreon.com/creator/hotdiggedydemon,"Max G.",,248,848.98,creation,0,,,,,
https://graphtreon.com/creator/PushingUpRoses,PushingUpRoses,Video,248,1312,month,0,,,,,
https://graphtreon.com/creator/cybergarbage,CYBERGARBAGE,Video,252,4041,month,0,,,,,
https://graphtreon.com/creator/futilitycloset,"Futility Closet",Podcasts,244,559.93,episode,0,,,,,
https://graphtreon.com/creator/medievalpoc,medievalpoc,Writing,244,1109.5,month,0,,,,,
https://graphtreon.com/creator/lethalfrag,"Matthew McKnight",Video,242,2551.5,month,0,,,,,
https://graphtreon.com/creator/tinycartridge,"Tiny Cartridge",Games,242,1102.57,month,0,,,,,
https://graphtreon.com/creator/gula,"Bryan Shannon",Games,240,804,"Building for Cities: Skylines",0,,,,,
https://graphtreon.com/creator/reiq,REIQ,Video,241,2646.75,month,0,,,,,
https://graphtreon.com/creator/fluffle_puff,"Fluffle Puff",Animation,236,814.5,month,0,,,,,
https://graphtreon.com/creator/armouredskeptic,"Armoured Skeptic",Video,236,1079.6,video,0,,,,,
https://graphtreon.com/creator/FlightChops,"Flight Chops",Video,229,1067.53,"Awesome Flying video!",0,,,,,
https://graphtreon.com/creator/RobScallon,"Rob Scallon",Music,229,529.45,"main channel video",0,,,,,
https://graphtreon.com/creator/user?u=257692,"Chez Apocalypse",Video,226,1056,,0,,,,,
https://graphtreon.com/creator/greyscalegorilla,Greyscalegorilla,Video,223,2693.17,month,0,,,,,
https://graphtreon.com/creator/duckfeedtv,Duckfeed.tv,Podcasts,221,1166.34,month,0,,,,,
https://graphtreon.com/creator/runbutton,"Run Button",Podcasts,220,1945.01,month,0,,,,,
https://graphtreon.com/creator/andrewhuang,"Andrew Huang",Music,218,533.09,week,0,,,,,
https://graphtreon.com/creator/thesecretcabal,"The Secret Cabal Gaming Podcast",Games,216,501.65,episode,0,,,,,
https://graphtreon.com/creator/torao,"Roberto Torao",Video,213,309,month,0,,,,,
https://graphtreon.com/creator/buriedwithoutceremony,"Avery Alder",Games,210,1193.49,month,0,,,,,
https://graphtreon.com/creator/korybing,"Kory Bing",Comics,213,1113.6,month,0,,,,,
https://graphtreon.com/creator/clarkesworld,"Clarkesworld Magazine",Magazine,209,770.77,month,0,,,,,
https://graphtreon.com/creator/sargon,"Sargon of Akkad",Video,213,642,month,0,,,,,
https://graphtreon.com/creator/bitesizevegan,"Bite Size Vegan",Video,211,2037,month,0,,,,,
https://graphtreon.com/creator/MattMelvin,"Matt Melvin",Comics,208,966.69,month,0,,,,,
https://graphtreon.com/creator/evandahm,"Evan Dahm",Comics,208,685,month,0,,,,,
https://graphtreon.com/creator/thisweekinscience,"This Week in Science (TWIS)",Video,206,541.04,month,0,,,,,
https://graphtreon.com/creator/michaelaranda,"Michael Aranda",Video,207,1272,month,0,,,,,
https://graphtreon.com/creator/KBSpangler,"K.B. Spangler",Comics,206,1161.51,month,0,,,,,
https://graphtreon.com/creator/rickgriffin,"Rick Griffin",Comics,207,1944.71,month,0,,,,,
https://graphtreon.com/creator/LoadingArtist,"Loading Artist",Comics,207,560.5,month,0,,,,,
https://graphtreon.com/creator/blimeycow,"Blimey Cow",Video,203,1783.64,month,0,,,,,
https://graphtreon.com/creator/TheD6Generation,"The D6 Generation",Games,202,551.25,Episode,0,,,,,
https://graphtreon.com/creator/anticastdesign,AntiCast,Podcasts,204,1123.19,month,0,,,,,
https://graphtreon.com/creator/ErinDiesAlone,"HUGE Corporation",Comics,202,985,month,0,,,,,
https://graphtreon.com/creator/steveshives,"Steve Shives",Video,198,1069,month,0,,,,,
https://graphtreon.com/creator/Tyrannicon,Tyrannicon,Video,197,2489,month,0,,,,,
https://graphtreon.com/creator/RadimoLA,Radimo,Writing,196,926.5,month,0,,,,,
