slug,patreon_url,keywords_count,keywords_found,Graphtreon,Name,Category,Patrons,Earnings,Range,Is Nsfw,Facebook Likes,Twitter Followers,Youtube Subscribers,Youtube Videos,Youtube Views
justbetweenus,https://www.patreon.com/justbetweenus/overview,1,journalist,https://graphtreon.com/creator/justbetweenus,Just Between Us,Video,301,446.74,creation,0,10391,38106,756265,350,143101414
asherwolf,https://www.patreon.com/asherwolf/overview,1,journalist,https://graphtreon.com/creator/asherwolf,Asher Wolf,,301,,month,0,,58096,,,
youarefreetv,https://www.patreon.com/youarefreetv/overview,1,reporting,https://graphtreon.com/creator/youarefreetv,youarefreetv,Video,308,1296.67,month,0,,,54125,111,4475943
Hemant,https://www.patreon.com/Hemant/overview,1,reporter,https://graphtreon.com/creator/Hemant,Hemant Mehta,Video,293,,month,0,599715,66449,202909,451,24044486
muellershewrote,https://www.patreon.com/muellershewrote/overview,2,reporting;investigation,https://graphtreon.com/creator/muellershewrote,"Mueller, She Wrote",Podcasts,298,,month,0,1928,4829,,,
EquestriaDaily,https://www.patreon.com/EquestriaDaily/overview,1,reporter,https://graphtreon.com/creator/EquestriaDaily,Equestria Daily,Video,289,1315.11,month,0,196275,57633,21567,96,8639928
weanimals,https://www.patreon.com/weanimals/overview,2,journalist;investigation,https://graphtreon.com/creator/weanimals,We Animals,Photography,286,3848.08,month,0,64285,11040,271,18,8758
Adam4d,https://www.patreon.com/Adam4d/overview,1,reporter,https://graphtreon.com/creator/Adam4d,Adam Ford,Comics,283,,month,0,60999,16148,,,
cloudbasemayhem,https://www.patreon.com/cloudbasemayhem/overview,1,journalism,https://graphtreon.com/creator/cloudbasemayhem,Cloudbase Mayhem,Podcasts,284,,episode,0,3091,516,233,6,15515
TNMPremium,https://www.patreon.com/TNMPremium/overview,1,journalist,https://graphtreon.com/creator/TNMPremium,That's Not Metal,Podcasts,283,,month,0,12250,5533,,,
tomchick,https://www.patreon.com/tomchick/overview,2,journalism;journalist,https://graphtreon.com/creator/tomchick,Tom Chick,Games,281,,month,0,,2496,60,17,8848
samaaron,https://www.patreon.com/samaaron/overview,1,reporting,https://graphtreon.com/creator/samaaron,Sam Aaron,Music,283,,month,0,,9243,1922,46,115521
BGIM,https://www.patreon.com/BGIM/overview,1,reporter,https://graphtreon.com/creator/BGIM,Black Girl in Maine,Writing,282,,month,0,10335,13298,,,
HLTCO,https://www.patreon.com/HLTCO/overview,1,journalism,https://graphtreon.com/creator/HLTCO,Hopkin Looking To Curl One...,Writing,277,726.72,month,0,,29578,,,
davidseaman,https://www.patreon.com/davidseaman/overview,1,journalism,https://graphtreon.com/creator/davidseaman,David Seaman,Video,265,1491.47,month,0,,11024,,,
powerwrestling,https://www.patreon.com/powerwrestling/overview,1,journalist,https://graphtreon.com/creator/powerwrestling,Power-Wrestling RADIO,Podcasts,273,,month,0,24569,3601,1755,35,45759
Sakugabooru,https://www.patreon.com/Sakugabooru/overview,1,investigative,https://graphtreon.com/creator/Sakugabooru,"Sakugabooru, Sakuga Blog, and Sakuga Video",Animation,271,1405.92,month,0,1756,4227,,,
forcecenter,https://www.patreon.com/forcecenter/overview,1,reporting,https://graphtreon.com/creator/forcecenter,ForceCenter,Podcasts,269,1039.81,month,0,1304,3304,864,17,7638
MylesJackman,https://www.patreon.com/MylesJackman/overview,1,journalism,https://graphtreon.com/creator/MylesJackman,Myles Jackman,Adult Writing,267,1304.06,month,1,,11673,21,3,2462
ThisParanormalLife,https://www.patreon.com/ThisParanormalLife/overview,1,investigation,https://graphtreon.com/creator/ThisParanormalLife,This Paranormal Life,Podcasts,266,1336.01,month,0,2234,1811,,,
culadasa,https://www.patreon.com/culadasa/overview,1,journalist,https://graphtreon.com/creator/culadasa,Culadasa,Writing,270,4237.37,month,0,1523,1805,,,
INeedDivGms,https://www.patreon.com/INeedDivGms/overview,1,journalist,https://graphtreon.com/creator/INeedDivGms,I Need Diverse Games,Games,264,1252.49,month,0,1795,7635,0,68,1694
mediaindigena,https://www.patreon.com/mediaindigena/overview,1,journalist,https://graphtreon.com/creator/mediaindigena,Rick Harp,Podcasts,255,1896.67,month,0,2912,22986,,,
massivelyop,https://www.patreon.com/massivelyop/overview,1,journalism,https://graphtreon.com/creator/massivelyop,Massively Overpowered,Video,258,1073.62,month,0,4765,12701,3016,1283,753227
vavacung,https://www.patreon.com/vavacung/overview,1,investigative,https://graphtreon.com/creator/vavacung,Vavacung,Adult Comics,243,3531.49,month,1,,,9863,15,2396072
comicsmnt,https://www.patreon.com/comicsmnt/overview,1,journalist,https://graphtreon.com/creator/comicsmnt,The MNT,Comics,254,309.99,month,0,,974,,,
theantimedia,https://www.patreon.com/theantimedia/overview,3,journalist;investigative;investigation,https://graphtreon.com/creator/theantimedia,Anti-Media,Video,241,,month,0,2160079,47648,1920,48,238687
marijuanamoment,https://www.patreon.com/marijuanamoment/overview,3,journalism;journalist;reporting,https://graphtreon.com/creator/marijuanamoment,Tom Angell's Marijuana Moment,Video,243,,month,0,,11168,,,
dhruvrathee,https://www.patreon.com/dhruvrathee/overview,1,reporter,https://graphtreon.com/creator/dhruvrathee,Dhruv Rathee,Video,235,,month,0,254454,,454331,116,28028727
theparcferme,https://www.patreon.com/theparcferme/overview,1,journalist,https://graphtreon.com/creator/theparcferme,The Parc FermÌ©,Podcasts,246,,month,0,,14958,499,50,250024
HardBastard,https://www.patreon.com/HardBastard/overview,3,journalist;reporting;investigative,https://graphtreon.com/creator/HardBastard,Hard Bastard,Video,245,771,month,0,,7312,35598,412,2920330
lawofselfdefense,https://www.patreon.com/lawofselfdefense/overview,1,investigation,https://graphtreon.com/creator/lawofselfdefense,Law of Self Defense,Video,247,,month,0,32321,7132,2138,221,462656
burnitalldown,https://www.patreon.com/burnitalldown/overview,1,reporter,https://graphtreon.com/creator/burnitalldown,Burn It All Down,Podcasts,243,1019.7,month,0,599,2591,,,
WhenDiplomacyFails,https://www.patreon.com/WhenDiplomacyFails/overview,1,investigation,https://graphtreon.com/creator/WhenDiplomacyFails,When Diplomacy Fails Podcast,Podcasts,239,1394.77,month,0,2587,711,154,25,2622
rasenfunk,https://www.patreon.com/rasenfunk/overview,1,journalist,https://graphtreon.com/creator/rasenfunk,Rasenfunk,Podcasts,236,772.55,month,0,3271,7110,1605,207,159807
katrobichaud,https://www.patreon.com/katrobichaud/overview,1,journalist,https://graphtreon.com/creator/katrobichaud,Kat Robichaud,Music,239,2103.48,"song, music video, and other art",0,14531,24289,3852,51,306350
walkingeaglenews,https://www.patreon.com/walkingeaglenews/overview,3,journalism;journalist;reporter,https://graphtreon.com/creator/walkingeaglenews,Tim Fontaine,Video,228,1098.03,month,0,5633,,,,
SukieKim,https://www.patreon.com/SukieKim/overview,1,reporting,https://graphtreon.com/creator/SukieKim,Sukie Kim,Adult Video,205,,month,1,,,,,
MikeCernovich,https://www.patreon.com/MikeCernovich/overview,4,journalism;journalist;reporter;reporting,https://graphtreon.com/creator/MikeCernovich,Mike Cernovich,Video,228,3522.75,month,0,,,,,
powerplaychess,https://www.patreon.com/powerplaychess/overview,1,journalist,https://graphtreon.com/creator/powerplaychess,Daniel King,Video,229,1238.16,month,0,1369,9454,40602,1027,12615144
scottbieser,https://www.patreon.com/scottbieser/overview,1,reporter,https://graphtreon.com/creator/scottbieser,Scott Bieser,Comics,230,1073.76,month,0,,838,,,
BrianKeene,https://www.patreon.com/BrianKeene/overview,1,journalism,https://graphtreon.com/creator/BrianKeene,Brian Keene,Writing,228,,month,0,10417,13850,557,9,16030
lysande,https://www.patreon.com/lysande/overview,1,journalism,https://graphtreon.com/creator/lysande,Lysande and Gunaretta,Adult Cosplay,206,,month,1,55093,2736,761,9,59043
periodicvideos,https://www.patreon.com/periodicvideos/overview,1,journalist,https://graphtreon.com/creator/periodicvideos,Periodic Videos,Video,226,826.58,month,0,30195,,1060511,634,180188899
discoursecollective,https://www.patreon.com/discoursecollective/overview,1,journalist,https://graphtreon.com/creator/discoursecollective,Discourse Collective,Podcasts,221,947.99,month,0,,8974,,,
casajurnalistului,https://www.patreon.com/casajurnalistului/overview,1,reporter,https://graphtreon.com/creator/casajurnalistului,Casa Jurnalistului,Video,211,1423.07,month,0,63139,,,,
thestraightpipes,https://www.patreon.com/thestraightpipes/overview,1,journalist,https://graphtreon.com/creator/thestraightpipes,The Straight Pipes,Video,221,,month,0,13610,,166070,162,17581696
katelynburns,https://www.patreon.com/katelynburns/overview,1,journalism,https://graphtreon.com/creator/katelynburns,Katelyn Burns,Video,218,957.94,month,0,456,16729,,,
indianandcowboy,https://www.patreon.com/indianandcowboy/overview,1,investigative,https://graphtreon.com/creator/indianandcowboy,Indian and Cowboy,Podcasts,219,1968.14,month,0,,4319,,,
mbainbridgeCFF,https://www.patreon.com/mbainbridgeCFF/overview,1,journalism,https://graphtreon.com/creator/mbainbridgeCFF,Mike Bainbridge,Writing,220,,month,0,,1532,,,
monolighter,https://www.patreon.com/monolighter/overview,2,journalist;investigative,https://graphtreon.com/creator/monolighter,Gobbosoft,Adult Games,215,1063.11,month,1,,,,,
paramuseum,https://www.patreon.com/paramuseum/overview,1,investigation,https://graphtreon.com/creator/paramuseum,Traveling Museum of the Paranormal & Occult,Video,215,7313.98,month,0,6271,2855,3922,42,567621
Coeur,https://www.patreon.com/Coeur/overview,1,journalism,https://graphtreon.com/creator/Coeur,Coeur al'Aran,Writing,206,2039.58,month,0,,,,,
palmemordet,https://www.patreon.com/palmemordet/overview,1,journalist,https://graphtreon.com/creator/palmemordet,Palmemordet,Podcasts,198,459.26,podcastavsnitt,0,1320,2759,0,185,548850
redsminorleagues,https://www.patreon.com/redsminorleagues/overview,1,journalism,https://graphtreon.com/creator/redsminorleagues,Doug Gray,Video,207,958.11,month,0,743,5983,1243,524,703930
waylandproductions,https://www.patreon.com/waylandproductions/overview,1,reporter,https://graphtreon.com/creator/waylandproductions,Wayland Productions,Video,203,1126.92,month,0,958,10826,4362,77,395561
bootstrap,https://www.patreon.com/bootstrap/overview,1,journalism,https://graphtreon.com/creator/bootstrap,Linda Tirado,Writing,203,924.17,month,0,4807,31659,,,
QuinnNorton,https://www.patreon.com/QuinnNorton/overview,1,journalist,https://graphtreon.com/creator/QuinnNorton,Quinn Norton,Writing,200,1386.59,month,0,,24537,,,
MumiaObsidianAli,https://www.patreon.com/MumiaObsidianAli/overview,1,journalist,https://graphtreon.com/creator/MumiaObsidianAli,Mumia Obsidian Ali,Adult Podcasts,198,1334.63,month,1,,1829,,,
geeks,https://www.patreon.com/geeks/overview,1,journalist,https://graphtreon.com/creator/geeks,Geek's Guide to the Galaxy,Podcasts,196,452.64,weekly episode,0,6438,4966,1597,346,382813
secondavesagas,https://www.patreon.com/secondavesagas/overview,1,reporting,https://graphtreon.com/creator/secondavesagas,Benjamin Kabak,Writing,203,810.66,month,0,2749,,,,
dustinnemos,https://www.patreon.com/dustinnemos/overview,1,journalist,https://graphtreon.com/creator/dustinnemos,Dustin Nemos,,191,1333.29,month,0,,5791,,,
gokhanozbek,https://www.patreon.com/gokhanozbek/overview,1,journalist,https://graphtreon.com/creator/gokhanozbek,GÌ¦khan ÌÐZBEK,Crafts & DIY,179,,month,0,,147145,5329,86,125107
NextNews,https://www.patreon.com/NextNews/overview,2,reporting;investigation,https://graphtreon.com/creator/NextNews,Next News Network,Video,193,730.72,month,0,24384,10620,635968,17728,649816876
